"","Subject_ID","Treatment","Age","Gender_Coded","Born_US","Ethnicity_Coded","Religiousity","Political_Aff","Income","Nat_Lang","Country_Born","Yrs_Country_Born","Current_Country","Education","P1_Educ","p2_Educ","Job","Empathy_Sentences","E_Compassion","E_Sympathy","E_Movedness","Empathy","Decision_DV","Suspicion","Suspicion_code","Incluenced_by_suspicion","Study2_done_before","Study2_done_before_text","Combined_Income_Centered","Combined_Condition_IncomeCentered","Sample_Income_Centered","Sample_Condition_IncomeCentered","filter_$_study2_geolocation"
"1",230,0,30,0,TRUE,0,4,4,6,"english","us","31","us",4,3,3,"business owner","",5,5,4,4.66666666666667,3,"i tried to evaluate the options and make the best choice possible",0,4,2,"",1.81,0,1.59,0,1
"2",231,0,20,0,TRUE,1,4,4,9,"English","United States","20","United States",2,2,5,"Unemployed","",6,6,6,6,1,"No",0,1,2,"",4.81,0,4.59,0,1
"3",237,0,25,0,TRUE,1,4,4,4,"English","USA","25","USA",5,5,3,"IT","",6,5,5,5.33333333333333,3,"",0,4,2,"",-0.19,0,-0.41,0,1
"4",239,0,39,0,TRUE,1,1,3,7,"English","USA","39","USA",5,7,6,"Realtor","",6,6,6,6,6,"Decision making about fairness",0,2,2,"",2.81,0,2.59,0,1
"5",245,0,48,0,TRUE,1,1,2,3,"English","usa","48","usa",3,3,3,"construction/foreman","",6,6,4,5.33333333333333,1,"no",0,1,2,"",-1.19,0,-1.41,0,1
"6",250,0,21,0,TRUE,0,1,3,1,"english","usa","21","usa",5,5,4,"student","",4,4,1,3,1,"to see how compassionate people are.",0,1,2,"",-3.19,0,-3.41,0,1
"7",253,0,30,0,TRUE,1,5,5,2,"English","US","30","US",5,5,2,"Restaurant cook","",6,5,5,5.33333333333333,4,"",0,2,2,"",-2.19,0,-2.41,0,1
"8",257,0,30,0,FALSE,0,7,1,5,"spanish","mexico","3","u.s.",5,1,1,"translator","",1,1,1,1,6,"no, don't have a clear idea yet.",0,3,2,"",0.81,0,0.59,0,1
"9",258,0,29,0,TRUE,1,5,4,4,"English","United States","28","United States",3,3,2,"Maintenance","",6,5,1,4,3,"",0,1,2,"",-0.19,0,-0.41,0,1
"10",262,0,32,0,TRUE,1,5,1,3,"enlgish","US","32","US",5,6,6,"quality control","",4,4,4,4,1,"That I have the final say in who gets what .",0,4,2,"",-1.19,0,-1.41,0,1
"11",269,0,24,0,TRUE,0,4,3,2,"English","United States","24","United States",3,4,1,"Xactimate Estimator","",3,4,3,3.33333333333333,5,"my hypothesis was that there is only one winner. Basically, that means this is a competition.  The chances of any one of us winning are slim. If that is the case I should maxamize my chances of winning while at least giving everybody else a chance. By leaing one ticket for the lose member I maintain my goal.",0,5,3,"I did complete a  money distribution survey but it was not this one. It was somewhat similar though.  None of the decisions I made in this survey were motivated by my answers to the other survey and i hope this doesn't reflect poorly on me as an mturker. his may not be the place to write this but It would be nice if you could put screeners up before we are allowed to participate in a survey when you have multiple surveys that are similar. thanks",-2.19,0,-2.41,0,1
"12",271,0,60,0,TRUE,1,3,4,6,"ENGLISH","USA","60","USA",2,1,2,"DISPATCHER","",5,3,4,4,4,"NO",0,3,2,"",1.81,0,1.59,0,1
"13",273,0,44,0,TRUE,0,2,2,7,"Japanese","USA","25","USA",5,5,5,"Program Manager","",4,4,3,3.66666666666667,3,"People with compassion and sympathy will tend to take less from others.",1,3,2,"",2.81,0,2.59,0,1
"14",277,0,36,0,TRUE,0,3,1,6,"english","USA","20","USA",5,5,5,"programmer","",7,7,7,7,1,"correct hypothesis",0,5,1,"",1.81,0,1.59,0,1
"15",281,0,43,0,TRUE,1,7,2,1,"english","us","43","usa",4,2,2,"sales","",5,5,5,5,6,"no",0,4,2,"",-3.19,0,-3.41,0,1
"16",283,0,30,0,TRUE,0,7,4,8,"english","US","30","US",4,7,7,"writer","",6,5,5,5.33333333333333,3,"no",0,4,2,"",3.81,0,3.59,0,1
"17",290,0,29,0,TRUE,1,3,3,6,"ENGLISH","UNITED STAES","29","UNITED STATES",5,5,5,"OPS MANAGER","",5,6,5,5.33333333333333,6,"NO I DID NOT",0,1,2,"",1.81,0,1.59,0,1
"18",305,0,30,0,TRUE,1,6,1,3,"english","usa","30","usa",5,5,4,"teacher","",6,6,1,4.33333333333333,1,"People will tend not to want to rob the ""lose"" member, when so identified as a loser. Other identities may yield different results.",0,2,2,"",-1.19,0,-1.41,0,1
"19",319,0,47,0,FALSE,1,5,5,6,"english","turkey","1","united states",5,2,3,"training coordinator","",1,1,1,1,1,"I have no reason to take any dollars away from the LOSE members to give to the gain members. I am not a socialist and don't believe in taking from one to give to another for no reason.",0,1,2,"",1.81,0,1.59,0,1
"20",323,0,31,0,TRUE,1,2,3,5,"english","US","31","US",4,2,2,"Military","",5,5,3,4.33333333333333,2,"no",0,1,2,"",0.81,0,0.59,0,1
"21",328,0,28,0,TRUE,1,2,2,4,"English","United States of America","28","United States of America",3,3,3,"eCommerce Retail / Managing Owner (LLC Small Business)","",4,6,2,4,6,"Not really,  I was thinking about the willingness to sacrifice for the greater good.",0,1,2,"",-0.19,0,-0.41,0,1
"22",330,0,29,0,TRUE,1,5,5,8,"English","United States","29","United States",7,6,5,"Pharmacist","",3,4,4,3.66666666666667,3,"If that member is going to lose the money anyway, and we can collectively make more money in their loss, the whole group could benefit by redividing the funds.",0,4,2,"",3.81,0,3.59,0,1
"23",332,0,37,0,TRUE,1,1,4,8,"English","USA","37","USA",4,3,2,"PT","",5,5,1,3.66666666666667,6,"To see how I want to benefit the group as a whole being the decider. Only one member of the group loses out for the benefit of all others",0,5,2,"",3.81,0,3.59,0,1
"24",340,0,33,0,TRUE,1,4,2,5,"English","United States","33","United States",5,3,2,"Production Supervisor/Manufacturing","",6,6,3,5,1,"Everyone will leave the experiment (possibly) with a relative same amount of reward bux or Experiment dollars or whatever. It would be interesting to see if everyone's mood would remain the same if we tried to equalize the reward amount.",0,4,2,"",0.81,0,0.59,0,1
"25",341,0,51,0,TRUE,1,4,4,4,"English","USA","51","USA",5,3,2,"Sales","",2,2,2,2,2,"No",0,2,2,"",-0.19,0,-0.41,0,1
"26",342,0,34,0,TRUE,1,6,5,6,"English","America","34","America",4,2,2,"Customer Service","",5,5,5,5,3,"",0,4,2,"",1.81,0,1.59,0,1
"27",351,0,36,0,TRUE,1,5,6,7,"English","United States","36","United States",4,2,2,"Support Analyst","",5,4,3,4,3,"How giving some may be when it comes to money.",0,2,2,"",2.81,0,2.59,0,1
"28",352,0,23,0,TRUE,0,5,4,3,"English","USA","23","USA",5,6,5,"Warehouse supervisor","",5,4,5,4.66666666666667,1,"none",0,3,2,"",-1.19,0,-1.41,0,1
"29",358,0,28,0,TRUE,1,6,6,4,"English","United States","28","United states",5,4,3,"Accountant","",6,7,5,6,2,"From dinosaurs to prehistoric humans, fossils provide a glimpse into Earth's past events, environment, and life forms. Fossils are the remains or traces of ancient organisms. Fossils can range in age from a mere ten thousand years to several billion yearsold. They can be microscopic or hundreds of feet long. From the Latin word fossilis, meaning something dug up, fossils are found on every continent. Scientists who study fossils are called paleontologists.",0,4,1,"",-0.19,0,-0.41,0,1
"30",362,0,45,0,TRUE,1,1,2,5,"english","United States","45","United States",5,5,3,"writer","",4,5,4,4.33333333333333,3,"not yet",0,1,2,"",0.81,0,0.59,0,1
"31",368,0,25,0,TRUE,1,1,2,2,"English","USA","25","USA",3,2,4,"Customer Service Rep","",4,4,4,4,3,"No",0,1,2,"",-2.19,0,-2.41,0,1
"32",369,0,34,0,TRUE,1,6,5,6,"English","USA","34","34",5,5,5,"Developer","",5,4,5,4.66666666666667,1,"No",0,4,2,"",1.81,0,1.59,0,1
"33",372,0,25,0,TRUE,0,3,3,9,"English","USA","26","USA",3,6,5,"Photographer","",2,3,3,2.66666666666667,2,"how do decisions reflect our ability to make choices based on compensation and power",0,5,2,"",4.81,0,4.59,0,1
"34",374,0,35,0,TRUE,1,7,6,5,"english","usa","35","usa",4,6,4,"law enforcment","",1,3,1,1.66666666666667,3,"",0,3,2,"",0.81,0,0.59,0,1
"35",378,0,25,0,TRUE,1,6,4,7,"English","United States","25","United States",2,2,2,"Electrical Quantity Surveyor","",6,5,4,5,2,"no im not sure what the hypothesis is",0,1,2,"",2.81,0,2.59,0,1
"36",381,0,37,0,TRUE,1,1,4,7,"Eglish","USA","37","USA",5,5,4,"senior mathematician","",1,1,1,1,6,"That people would not steal from one person even if it benefited others.",0,1,2,"",2.81,0,2.59,0,1
"37",389,0,41,0,TRUE,1,7,7,2,"english","usa","41","usa",6,2,2,"senior underwriter","",7,7,4,6,4,"no",0,1,2,"",-2.19,0,-2.41,0,1
"38",400,0,27,0,TRUE,0,4,3,3,"english","united states","27","united states",5,1,1,"insurance","",7,7,5,6.33333333333333,1,"Not quite, sorry.",0,1,2,"",-1.19,0,-1.41,0,1
"39",401,0,40,0,TRUE,1,1,6,8,"ENGLISH","USA","40","USA",6,7,5,"BUSINESS OWNER","",1,1,1,1,6,"JUST WANT THE MOST MONEY",0,1,2,"",3.81,0,3.59,0,1
"40",402,0,32,0,FALSE,0,4,5,3,"english","chicago","us","us",2,3,4,"","",5,4,3,4,3,"",0,4,2,"",-1.19,0,-1.41,0,1
"41",404,0,26,0,TRUE,1,1,2,4,"english","usa","26","usa",3,4,4,"produce","",7,7,7,7,6,"no",0,1,2,"",-0.19,0,-0.41,0,1
"42",409,0,30,0,TRUE,1,3,3,4,"english","usa","30","USA",5,5,5,"Cook","",1,1,1,1,6,"Probably about how education and religousness or political leanings effect compassion for the one versus benefitting the whole group",0,1,2,"",-0.19,0,-0.41,0,1
